warning_detector,drift_detector,warning_signal,drift_signal,model_type,files,mean_accuracy,mean_detected_drifts,mean_time_s,total_time_s
seqdrift2,seqdrift2,uq_mi,uq_mi,hf,10,0.912949494949495,0.9,5.175697579100051,51.756975791000514
seqdrift2,seed,uq_entropy,error,hf,10,0.9116868686868687,0.3,7.502676216600048,75.02676216600048
seqdrift2,seqdrift2,error,uq_mi,hf,10,0.911378787878788,0.7,4.105669737699827,41.05669737699827
seqdrift2,seqdrift2,uq_vote,uq_mi,hf,10,0.9113585858585858,0.8,4.142005187500399,41.42005187500399
seqdrift2,adwin,error,uq_mi,hf,10,0.9105505050505049,0.3,3.362551928799985,33.62551928799985
seqdrift2,seqdrift2,uq_entropy,uq_mi,hf,10,0.9080101010101009,0.6,4.942223008100155,49.422230081001544
seqdrift2,seed,uq_vote,error,hf,10,0.9076161616161617,0.4,7.617418395899767,76.17418395899767
seqdrift2,adwin,uq_vote,uq_mi,hf,10,0.9071767676767676,0.3,3.5847469958001965,35.847469958001966
seqdrift2,adwin,uq_mi,uq_mi,hf,10,0.9055959595959596,0.2,3.4266440291001343,34.266440291001345
seqdrift2,adwin,error,uq_vote,hf,10,0.9044595959595959,0.1,3.0540224249994936,30.540224249994935
seqdrift2,seed,uq_mi,error,hf,10,0.9038333333333334,0.3,7.1108428415996965,71.10842841599697
seqdrift2,seed,error,uq_mi,hf,10,0.9037727272727272,0.0,5.994305316700047,59.94305316700047
seqdrift2,seed,error,uq_vote,hf,10,0.9037727272727272,0.0,7.055842775000019,70.55842775000019
seqdrift2,seed,error,uq_entropy,hf,10,0.9037727272727272,0.0,6.382557308299693,63.825573082996925
seqdrift2,adwin,uq_vote,uq_entropy,hf,10,0.9036969696969696,0.3,4.152847779200056,41.52847779200056
seqdrift2,adwin,uq_mi,uq_entropy,hf,10,0.9012323232323232,0.1,2.943848762700327,29.43848762700327
seqdrift2,adwin,uq_entropy,uq_vote,hf,10,0.8999040404040402,0.1,3.823727037500066,38.23727037500066
seqdrift2,adwin,uq_entropy,uq_mi,hf,10,0.8986414141414141,0.0,2.9913370707005016,29.913370707005015
seqdrift2,seed,uq_entropy,uq_mi,hf,10,0.89860101010101,0.0,5.962618741699589,59.62618741699589
seqdrift2,seed,uq_entropy,uq_vote,hf,10,0.89860101010101,0.0,5.820723545900182,58.20723545900182
